"WYT","Region","NAA","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4"
"AN","Delta","0.51 +/- 0.182","0.447 +/- 0.171","0.508 +/- 0.182","0.508 +/- 0.182","0.51 +/- 0.183","0.512 +/- 0.184","0.487 +/- 0.169","0.501 +/- 0.181"
"BN","Confluence","0.601 +/- 0.136","0.632 +/- 0.103","0.585 +/- 0.148","0.585 +/- 0.149","0.598 +/- 0.136","0.598 +/- 0.136","0.644 +/- 0.098","0.584 +/- 0.149"
"BN","East Delta","0.441 +/- 0.043","0.441 +/- 0.043","0.441 +/- 0.044","0.441 +/- 0.044","0.441 +/- 0.043","0.441 +/- 0.043","0.441 +/- 0.044","0.441 +/- 0.044"
"BN","Lower Sacramento River","0.648 +/- 0.041","0.648 +/- 0.041","0.648 +/- 0.041","0.648 +/- 0.041","0.648 +/- 0.041","0.648 +/- 0.041","0.649 +/- 0.042","0.648 +/- 0.041"
"BN","Lower San Joaquin River","0.482 +/- 0.08","0.482 +/- 0.08","0.482 +/- 0.08","0.482 +/- 0.08","0.482 +/- 0.08","0.482 +/- 0.08","0.482 +/- 0.08","0.482 +/- 0.08"
"BN","NE Suisun","0.431 +/- 0.192","0.424 +/- 0.177","0.423 +/- 0.176","0.423 +/- 0.177","0.423 +/- 0.176","0.423 +/- 0.176","0.477 +/- 0.171","0.422 +/- 0.175"
"BN","NW Suisun","0.366 +/- 0.125","0.33 +/- 0.081","0.336 +/- 0.085","0.336 +/- 0.085","0.336 +/- 0.086","0.336 +/- 0.085","0.31 +/- 0.031","0.335 +/- 0.084"
"BN","SE Suisun","0.304 +/- 0.147","0.306 +/- 0.136","0.297 +/- 0.14","0.297 +/- 0.14","0.299 +/- 0.139","0.298 +/- 0.139","0.339 +/- 0.128","0.296 +/- 0.139"
"BN","SW Suisun","0.148 +/- 0.02","0.147 +/- 0.02","0.148 +/- 0.02","0.148 +/- 0.02","0.148 +/- 0.02","0.147 +/- 0.02","0.147 +/- 0.02","0.148 +/- 0.02"
"BN","Sacramento River","0.423 +/- 0.016","0.424 +/- 0.017","0.423 +/- 0.016","0.423 +/- 0.016","0.423 +/- 0.016","0.423 +/- 0.016","0.426 +/- 0.019","0.423 +/- 0.016"
"BN","South Delta","0.478 +/- 0.05","0.478 +/- 0.05","0.478 +/- 0.05","0.478 +/- 0.05","0.478 +/- 0.05","0.478 +/- 0.05","0.48 +/- 0.05","0.478 +/- 0.05"
"BN","Suisun Marsh","0.738 +/- 0.145","0.561 +/- 0.205","0.726 +/- 0.128","0.726 +/- 0.128","0.748 +/- 0.103","0.75 +/- 0.105","0.765 +/- 0.077","0.725 +/- 0.127"
"BN","Yolo Bypass","0.547 +/- 0.011","0.547 +/- 0.011","0.547 +/- 0.011","0.547 +/- 0.011","0.547 +/- 0.011","0.547 +/- 0.011","0.547 +/- 0.011","0.547 +/- 0.011"
"BN","SummerFall","0.588 +/- 0.18","0.543 +/- 0.175","0.574 +/- 0.181","0.574 +/- 0.181","0.583 +/- 0.181","0.583 +/- 0.181","0.592 +/- 0.184","0.573 +/- 0.181"
"BN","Delta","0.467 +/- 0.181","0.452 +/- 0.168","0.461 +/- 0.177","0.461 +/- 0.177","0.464 +/- 0.178","0.464 +/- 0.179","0.476 +/- 0.177","0.461 +/- 0.176"
"C","Confluence","0.348 +/- 0.057","0.409 +/- 0.198","0.355 +/- 0.065","0.442 +/- 0.188","0.434 +/- 0.195","0.44 +/- 0.191","0.441 +/- 0.203","0.346 +/- 0.127"
"C","East Delta","0.441 +/- 0.044","0.441 +/- 0.043","0.441 +/- 0.044","0.441 +/- 0.044","0.441 +/- 0.044","0.441 +/- 0.044","0.441 +/- 0.043","0.441 +/- 0.043"
"C","Lower Sacramento River","0.613 +/- 0.061","0.57 +/- 0.129","0.616 +/- 0.061","0.613 +/- 0.075","0.596 +/- 0.092","0.607 +/- 0.072","0.58 +/- 0.115","0.564 +/- 0.104"
"C","Lower San Joaquin River","0.483 +/- 0.08","0.475 +/- 0.076","0.483 +/- 0.08","0.483 +/- 0.08","0.482 +/- 0.079","0.483 +/- 0.08","0.478 +/- 0.077","0.477 +/- 0.077"
"C","NE Suisun","0.309 +/- 0.025","0.344 +/- 0.107","0.309 +/- 0.025","0.318 +/- 0.044","0.32 +/- 0.047","0.323 +/- 0.057","0.352 +/- 0.112","0.309 +/- 0.026"
"C","NW Suisun","0.307 +/- 0.026","0.306 +/- 0.025","0.307 +/- 0.026","0.307 +/- 0.025","0.307 +/- 0.025","0.307 +/- 0.025","0.305 +/- 0.025","0.306 +/- 0.025"
"C","SE Suisun","0.199 +/- 0.019","0.232 +/- 0.09","0.199 +/- 0.019","0.215 +/- 0.048","0.216 +/- 0.049","0.218 +/- 0.053","0.235 +/- 0.09","0.2 +/- 0.022"
"C","SW Suisun","0.157 +/- 0.022","0.15 +/- 0.023","0.157 +/- 0.022","0.156 +/- 0.021","0.156 +/- 0.021","0.156 +/- 0.021","0.149 +/- 0.022","0.15 +/- 0.023"
"C","Sacramento River","0.429 +/- 0.019","0.428 +/- 0.018","0.429 +/- 0.019","0.429 +/- 0.019","0.429 +/- 0.019","0.428 +/- 0.019","0.429 +/- 0.019","0.429 +/- 0.019"
"C","South Delta","0.48 +/- 0.05","0.481 +/- 0.05","0.48 +/- 0.05","0.48 +/- 0.05","0.48 +/- 0.05","0.48 +/- 0.05","0.481 +/- 0.05","0.481 +/- 0.05"
"C","Suisun Marsh","0.331 +/- 0.017","0.332 +/- 0.02","0.331 +/- 0.017","0.334 +/- 0.022","0.334 +/- 0.022","0.334 +/- 0.022","0.335 +/- 0.023","0.331 +/- 0.018"
"C","Yolo Bypass","0.546 +/- 0.009","0.547 +/- 0.011","0.546 +/- 0.009","0.546 +/- 0.009","0.546 +/- 0.009","0.546 +/- 0.009","0.546 +/- 0.011","0.547 +/- 0.011"
"C","SummerFall","0.4 +/- 0.133","0.404 +/- 0.155","0.402 +/- 0.134","0.424 +/- 0.157","0.418 +/- 0.155","0.422 +/- 0.155","0.415 +/- 0.157","0.387 +/- 0.132"
"C","Delta","0.387 +/- 0.137","0.393 +/- 0.145","0.388 +/- 0.137","0.397 +/- 0.145","0.395 +/- 0.144","0.397 +/- 0.144","0.398 +/- 0.146","0.382 +/- 0.137"
"D","Confluence","0.542 +/- 0.167","0.513 +/- 0.174","0.541 +/- 0.168","0.541 +/- 0.168","0.54 +/- 0.168","0.541 +/- 0.167","0.597 +/- 0.15","0.501 +/- 0.184"
"D","East Delta","0.441 +/- 0.043","0.441 +/- 0.043","0.441 +/- 0.043","0.441 +/- 0.043","0.441 +/- 0.043","0.441 +/- 0.043","0.441 +/- 0.043","0.441 +/- 0.043"
"D","Lower Sacramento River","0.647 +/- 0.047","0.639 +/- 0.045","0.647 +/- 0.047","0.647 +/- 0.047","0.647 +/- 0.048","0.647 +/- 0.047","0.642 +/- 0.041","0.633 +/- 0.05"
"D","Lower San Joaquin River","0.483 +/- 0.081","0.482 +/- 0.079","0.483 +/- 0.081","0.483 +/- 0.081","0.483 +/- 0.081","0.483 +/- 0.081","0.481 +/- 0.08","0.482 +/- 0.079"
"D","NE Suisun","0.395 +/- 0.177","0.371 +/- 0.161","0.396 +/- 0.178","0.396 +/- 0.178","0.391 +/- 0.171","0.386 +/- 0.167","0.458 +/- 0.2","0.376 +/- 0.172"
"D","NW Suisun","0.336 +/- 0.104","0.329 +/- 0.09","0.336 +/- 0.105","0.336 +/- 0.105","0.334 +/- 0.101","0.333 +/- 0.098","0.342 +/- 0.114","0.332 +/- 0.1"
"D","SE Suisun","0.272 +/- 0.141","0.253 +/- 0.132","0.272 +/- 0.142","0.272 +/- 0.142","0.269 +/- 0.138","0.267 +/- 0.135","0.321 +/- 0.16","0.257 +/- 0.143"
"D","SW Suisun","0.142 +/- 0.025","0.144 +/- 0.025","0.142 +/- 0.025","0.142 +/- 0.025","0.142 +/- 0.025","0.142 +/- 0.025","0.143 +/- 0.024","0.146 +/- 0.027"
"D","Sacramento River","0.428 +/- 0.018","0.427 +/- 0.018","0.428 +/- 0.018","0.428 +/- 0.018","0.428 +/- 0.018","0.428 +/- 0.018","0.427 +/- 0.018","0.427 +/- 0.018"
"D","South Delta","0.48 +/- 0.05","0.48 +/- 0.05","0.48 +/- 0.05","0.48 +/- 0.05","0.48 +/- 0.05","0.48 +/- 0.05","0.48 +/- 0.05","0.48 +/- 0.05"
"D","Suisun Marsh","0.536 +/- 0.192","0.44 +/- 0.206","0.531 +/- 0.192","0.529 +/- 0.193","0.531 +/- 0.193","0.54 +/- 0.194","0.596 +/- 0.178","0.466 +/- 0.202"
"D","Yolo Bypass","0.55 +/- 0.011","0.548 +/- 0.012","0.554 +/- 0.016","0.549 +/- 0.011","0.549 +/- 0.01","0.549 +/- 0.011","0.548 +/- 0.011","0.548 +/- 0.012"
"D","SummerFall","0.515 +/- 0.176","0.48 +/- 0.179","0.514 +/- 0.176","0.513 +/- 0.176","0.513 +/- 0.176","0.515 +/- 0.176","0.544 +/- 0.174","0.483 +/- 0.179"
"D","Delta","0.438 +/- 0.168","0.422 +/- 0.164","0.438 +/- 0.168","0.437 +/- 0.168","0.436 +/- 0.167","0.436 +/- 0.167","0.456 +/- 0.17","0.424 +/- 0.165"
"W","Confluence","0.674 +/- 0.055","0.501 +/- 0.19","0.674 +/- 0.055","0.673 +/- 0.055","0.674 +/- 0.055","0.674 +/- 0.055","0.674 +/- 0.057","0.668 +/- 0.059"
"W","East Delta","0.441 +/- 0.044","0.442 +/- 0.045","0.441 +/- 0.044","0.441 +/- 0.044","0.441 +/- 0.044","0.441 +/- 0.044","0.442 +/- 0.044","0.441 +/- 0.044"
"W","Lower Sacramento River","0.647 +/- 0.042","0.627 +/- 0.069","0.647 +/- 0.042","0.647 +/- 0.042","0.647 +/- 0.042","0.647 +/- 0.042","0.649 +/- 0.042","0.648 +/- 0.042"
"W","Lower San Joaquin River","0.482 +/- 0.079","0.481 +/- 0.079","0.482 +/- 0.079","0.482 +/- 0.079","0.482 +/- 0.079","0.482 +/- 0.079","0.481 +/- 0.079","0.481 +/- 0.079"
"W","NE Suisun","0.553 +/- 0.192","0.424 +/- 0.25","0.541 +/- 0.187","0.535 +/- 0.178","0.542 +/- 0.187","0.542 +/- 0.187","0.52 +/- 0.189","0.492 +/- 0.226"
"W","NW Suisun","0.387 +/- 0.151","0.386 +/- 0.169","0.378 +/- 0.143","0.373 +/- 0.135","0.379 +/- 0.144","0.379 +/- 0.144","0.369 +/- 0.133","0.382 +/- 0.16"
"W","SE Suisun","0.391 +/- 0.13","0.287 +/- 0.19","0.383 +/- 0.126","0.379 +/- 0.12","0.384 +/- 0.126","0.384 +/- 0.126","0.37 +/- 0.13","0.352 +/- 0.157"
"W","SW Suisun","0.157 +/- 0.02","0.161 +/- 0.021","0.157 +/- 0.02","0.156 +/- 0.02","0.157 +/- 0.02","0.157 +/- 0.02","0.157 +/- 0.02","0.158 +/- 0.02"
"W","Sacramento River","0.422 +/- 0.016","0.423 +/- 0.016","0.422 +/- 0.016","0.422 +/- 0.016","0.422 +/- 0.016","0.422 +/- 0.016","0.425 +/- 0.019","0.422 +/- 0.017"
"W","South Delta","0.479 +/- 0.05","0.479 +/- 0.05","0.479 +/- 0.05","0.479 +/- 0.05","0.479 +/- 0.05","0.479 +/- 0.05","0.48 +/- 0.049","0.479 +/- 0.05"
"W","Suisun Marsh","0.631 +/- 0.203","0.533 +/- 0.263","0.619 +/- 0.202","0.612 +/- 0.202","0.62 +/- 0.203","0.62 +/- 0.203","0.617 +/- 0.18","0.615 +/- 0.198"
"W","Yolo Bypass","0.548 +/- 0.012","0.548 +/- 0.013","0.548 +/- 0.012","0.548 +/- 0.012","0.548 +/- 0.012","0.548 +/- 0.012","0.548 +/- 0.013","0.548 +/- 0.013"
"W","SummerFall","0.585 +/- 0.172","0.512 +/- 0.199","0.579 +/- 0.172","0.576 +/- 0.171","0.58 +/- 0.172","0.58 +/- 0.172","0.577 +/- 0.167","0.578 +/- 0.172"
"W","Delta","0.484 +/- 0.17","0.441 +/- 0.181","0.481 +/- 0.169","0.479 +/- 0.167","0.481 +/- 0.169","0.481 +/- 0.169","0.478 +/- 0.167","0.474 +/- 0.174"
