"WYT","Region","NAA","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4"
"C","Sacramento River",0.429,"0.428 (-0.002)","0.429 (0)","0.429 (0)","0.429 (0)","0.428 (-0.002)","0.429 (0)","0.429 (0)"
"C","South Delta",0.48,"0.481 (0.002)","0.48 (0)","0.48 (0)","0.48 (0)","0.48 (0)","0.481 (0.002)","0.481 (0.002)"
"C","Suisun Marsh",0.331,"0.332 (0.003)","0.331 (0)","0.334 (0.009)","0.334 (0.009)","0.334 (0.009)","0.335 (0.012)","0.331 (0)"
"C","Yolo Bypass",0.546,"0.547 (0.002)","0.546 (0)","0.546 (0)","0.546 (0)","0.546 (0)","0.546 (0)","0.547 (0.002)"
"C","SummerFall",0.4,"0.404 (0.01)","0.402 (0.005)","0.424 (0.06)","0.418 (0.045)","0.422 (0.055)","0.415 (0.037)","0.387 (-0.033)"
"C","Delta",0.387,"0.393 (0.016)","0.388 (0.003)","0.397 (0.026)","0.395 (0.021)","0.397 (0.026)","0.398 (0.028)","0.382 (-0.013)"
"D","Confluence",0.542,"0.513 (-0.054)","0.541 (-0.002)","0.541 (-0.002)","0.54 (-0.004)","0.541 (-0.002)","0.597 (0.101)","0.501 (-0.076)"
"D","East Delta",0.441,"0.441 (0)","0.441 (0)","0.441 (0)","0.441 (0)","0.441 (0)","0.441 (0)","0.441 (0)"
"D","Lower Sacramento River",0.647,"0.639 (-0.012)","0.647 (0)","0.647 (0)","0.647 (0)","0.647 (0)","0.642 (-0.008)","0.633 (-0.022)"
"D","Lower San Joaquin River",0.483,"0.482 (-0.002)","0.483 (0)","0.483 (0)","0.483 (0)","0.483 (0)","0.481 (-0.004)","0.482 (-0.002)"
"D","NE Suisun",0.395,"0.371 (-0.061)","0.396 (0.003)","0.396 (0.003)","0.391 (-0.01)","0.386 (-0.023)","0.458 (0.159)","0.376 (-0.048)"
"D","NW Suisun",0.336,"0.329 (-0.021)","0.336 (0)","0.336 (0)","0.334 (-0.006)","0.333 (-0.009)","0.342 (0.018)","0.332 (-0.012)"
"D","SE Suisun",0.272,"0.253 (-0.07)","0.272 (0)","0.272 (0)","0.269 (-0.011)","0.267 (-0.018)","0.321 (0.18)","0.257 (-0.055)"
"D","SW Suisun",0.142,"0.144 (0.014)","0.142 (0)","0.142 (0)","0.142 (0)","0.142 (0)","0.143 (0.007)","0.146 (0.028)"
"D","Sacramento River",0.428,"0.427 (-0.002)","0.428 (0)","0.428 (0)","0.428 (0)","0.428 (0)","0.427 (-0.002)","0.427 (-0.002)"
"D","South Delta",0.48,"0.48 (0)","0.48 (0)","0.48 (0)","0.48 (0)","0.48 (0)","0.48 (0)","0.48 (0)"
"D","Suisun Marsh",0.536,"0.44 (-0.179)","0.531 (-0.009)","0.529 (-0.013)","0.531 (-0.009)","0.54 (0.007)","0.596 (0.112)","0.466 (-0.131)"
"D","Yolo Bypass",0.55,"0.548 (-0.004)","0.554 (0.007)","0.549 (-0.002)","0.549 (-0.002)","0.549 (-0.002)","0.548 (-0.004)","0.548 (-0.004)"
"D","SummerFall",0.515,"0.48 (-0.068)","0.514 (-0.002)","0.513 (-0.004)","0.513 (-0.004)","0.515 (0)","0.544 (0.056)","0.483 (-0.062)"
"D","Delta",0.438,"0.422 (-0.037)","0.438 (0)","0.437 (-0.002)","0.436 (-0.005)","0.436 (-0.005)","0.456 (0.041)","0.424 (-0.032)"
"W","Confluence",0.674,"0.501 (-0.257)","0.674 (0)","0.673 (-0.001)","0.674 (0)","0.674 (0)","0.674 (0)","0.668 (-0.009)"
"W","East Delta",0.441,"0.442 (0.002)","0.441 (0)","0.441 (0)","0.441 (0)","0.441 (0)","0.442 (0.002)","0.441 (0)"
"W","Lower Sacramento River",0.647,"0.627 (-0.031)","0.647 (0)","0.647 (0)","0.647 (0)","0.647 (0)","0.649 (0.003)","0.648 (0.002)"
"W","Lower San Joaquin River",0.482,"0.481 (-0.002)","0.482 (0)","0.482 (0)","0.482 (0)","0.482 (0)","0.481 (-0.002)","0.481 (-0.002)"
"W","NE Suisun",0.553,"0.424 (-0.233)","0.541 (-0.022)","0.535 (-0.033)","0.542 (-0.02)","0.542 (-0.02)","0.52 (-0.06)","0.492 (-0.11)"
"W","NW Suisun",0.387,"0.386 (-0.003)","0.378 (-0.023)","0.373 (-0.036)","0.379 (-0.021)","0.379 (-0.021)","0.369 (-0.047)","0.382 (-0.013)"
"W","SE Suisun",0.391,"0.287 (-0.266)","0.383 (-0.02)","0.379 (-0.031)","0.384 (-0.018)","0.384 (-0.018)","0.37 (-0.054)","0.352 (-0.1)"
"W","SW Suisun",0.157,"0.161 (0.025)","0.157 (0)","0.156 (-0.006)","0.157 (0)","0.157 (0)","0.157 (0)","0.158 (0.006)"
"W","Sacramento River",0.422,"0.423 (0.002)","0.422 (0)","0.422 (0)","0.422 (0)","0.422 (0)","0.425 (0.007)","0.422 (0)"
"W","South Delta",0.479,"0.479 (0)","0.479 (0)","0.479 (0)","0.479 (0)","0.479 (0)","0.48 (0.002)","0.479 (0)"
"W","Suisun Marsh",0.631,"0.533 (-0.155)","0.619 (-0.019)","0.612 (-0.03)","0.62 (-0.017)","0.62 (-0.017)","0.617 (-0.022)","0.615 (-0.025)"
"W","Yolo Bypass",0.548,"0.548 (0)","0.548 (0)","0.548 (0)","0.548 (0)","0.548 (0)","0.548 (0)","0.548 (0)"
"W","SummerFall",0.585,"0.512 (-0.125)","0.579 (-0.01)","0.576 (-0.015)","0.58 (-0.009)","0.58 (-0.009)","0.577 (-0.014)","0.578 (-0.012)"
"W","Delta",0.484,"0.441 (-0.089)","0.481 (-0.006)","0.479 (-0.01)","0.481 (-0.006)","0.481 (-0.006)","0.478 (-0.012)","0.474 (-0.021)"
