"WYT","Region","EXP1","EXP3","NAA","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA"
"BN","East Delta","0.146 (0.397)","0.147 (0.393)",0.242,"0.237 (0.021)","0.239 (0.012)","0.244 (-0.008)","0.244 (-0.008)"
"BN","Lower Sacramento River","0.235 (0.382)","0.333 (0.124)",0.38,"0.377 (0.008)","0.378 (0.005)","0.381 (-0.003)","0.38 (0)"
"BN","Lower San Joaquin River","0.204 (0.146)","0.213 (0.109)",0.239,"0.237 (0.008)","0.237 (0.008)","0.24 (-0.004)","0.24 (-0.004)"
"BN","NE Suisun","0.252 (0.182)","0.36 (-0.169)",0.308,"0.304 (0.013)","0.305 (0.01)","0.305 (0.01)","0.304 (0.013)"
"BN","NW Suisun","0.257 (0.105)","0.253 (0.118)",0.287,"0.271 (0.056)","0.271 (0.056)","0.271 (0.056)","0.271 (0.056)"
"BN","SE Suisun","0.166 (0.221)","0.253 (-0.188)",0.213,"0.209 (0.019)","0.209 (0.019)","0.211 (0.009)","0.21 (0.014)"
"BN","SW Suisun","0.147 (-0.05)","0.14 (0)",0.14,"0.141 (-0.007)","0.141 (-0.007)","0.14 (0)","0.14 (0)"
"BN","Sacramento River","0.181 (0.453)","0.231 (0.302)",0.331,"0.329 (0.006)","0.331 (0)","0.334 (-0.009)","0.333 (-0.006)"
"BN","South Delta","0.16 (0.07)","0.16 (0.07)",0.172,"0.17 (0.012)","0.17 (0.012)","0.172 (0)","0.172 (0)"
"BN","Suisun Marsh","0.284 (0.507)","0.38 (0.34)",0.576,"0.572 (0.007)","0.572 (0.007)","0.594 (-0.031)","0.595 (-0.033)"
"BN","Yolo Bypass","0.232 (0.097)","0.238 (0.074)",0.257,"0.256 (0.004)","0.256 (0.004)","0.257 (0)","0.257 (0)"
"BN","SummerFall","0.246 (0.403)","0.352 (0.146)",0.412,"0.402 (0.024)","0.402 (0.024)","0.412 (0)","0.412 (0)"
"BN","Delta","0.206 (0.304)","0.262 (0.115)",0.296,"0.291 (0.017)","0.291 (0.017)","0.296 (0)","0.296 (0)"
"C","Confluence","0.081 (0.277)","0.174 (-0.554)",0.112,"0.112 (0)","0.106 (0.054)","0.1 (0.107)","0.103 (0.08)"
"C","East Delta","0.088 (0.083)","0.095 (0.01)",0.096,"0.096 (0)","0.096 (0)","0.094 (0.021)","0.095 (0.01)"
"C","Lower Sacramento River","0.072 (0.561)","0.173 (-0.055)",0.164,"0.164 (0)","0.157 (0.043)","0.143 (0.128)","0.151 (0.079)"
"C","Lower San Joaquin River","0.097 (0.242)","0.127 (0.008)",0.128,"0.128 (0)","0.129 (-0.008)","0.128 (0)","0.129 (-0.008)"
"C","NE Suisun","0.116 (-0.009)","0.113 (0.017)",0.115,"0.115 (0)","0.117 (-0.017)","0.118 (-0.026)","0.118 (-0.026)"
"C","NW Suisun","0.124 (0)","0.124 (0)",0.124,"0.124 (0)","0.125 (-0.008)","0.125 (-0.008)","0.125 (-0.008)"
"C","SE Suisun","0.071 (-0.044)","0.069 (-0.015)",0.068,"0.068 (0)","0.07 (-0.029)","0.07 (-0.029)","0.07 (-0.029)"
"C","SW Suisun","0.062 (-0.016)","0.06 (0.016)",0.061,"0.061 (0)","0.062 (-0.016)","0.062 (-0.016)","0.062 (-0.016)"
"C","Sacramento River","0.079 (0.347)","0.121 (0)",0.121,"0.121 (0)","0.122 (-0.008)","0.116 (0.041)","0.122 (-0.008)"
"C","South Delta","0.119 (-0.008)","0.117 (0.008)",0.118,"0.118 (0)","0.118 (0)","0.118 (0)","0.118 (0)"
"C","Suisun Marsh","0.143 (0.021)","0.148 (-0.014)",0.146,"0.146 (0)","0.146 (0)","0.146 (0)","0.146 (0)"
"C","Yolo Bypass","0.168 (-0.057)","0.159 (0)",0.159,"0.159 (0)","0.158 (0.006)","0.162 (-0.019)","0.161 (-0.013)"
"C","SummerFall","0.105 (0.234)","0.155 (-0.131)",0.137,"0.137 (0)","0.134 (0.022)","0.129 (0.058)","0.131 (0.044)"
"C","Delta","0.102 (0.136)","0.123 (-0.042)",0.118,"0.118 (0)","0.117 (0.008)","0.115 (0.025)","0.117 (0.008)"
"D","Confluence","0.26 (-0.008)","0.332 (-0.287)",0.258,"0.257 (0.004)","0.257 (0.004)","0.259 (-0.004)","0.26 (-0.008)"
"D","East Delta","0.161 (-0.032)","0.152 (0.026)",0.156,"0.156 (0)","0.156 (0)","0.156 (0)","0.156 (0)"
"D","Lower Sacramento River","0.261 (-0.016)","0.253 (0.016)",0.257,"0.257 (0)","0.257 (0)","0.257 (0)","0.258 (-0.004)"
"D","Lower San Joaquin River","0.183 (0.011)","0.182 (0.016)",0.185,"0.185 (0)","0.185 (0)","0.185 (0)","0.185 (0)"
"D","NE Suisun","0.234 (0.13)","0.36 (-0.338)",0.269,"0.269 (0)","0.269 (0)","0.265 (0.015)","0.262 (0.026)"
"D","NW Suisun","0.207 (0.127)","0.262 (-0.105)",0.237,"0.237 (0)","0.237 (0)","0.235 (0.008)","0.235 (0.008)"
"D","SE Suisun","0.154 (0.125)","0.248 (-0.409)",0.176,"0.176 (0)","0.176 (0)","0.174 (0.011)","0.173 (0.017)"
"D","SW Suisun","0.1 (0.057)","0.105 (0.009)",0.106,"0.106 (0)","0.106 (0)","0.106 (0)","0.106 (0)"
"D","Sacramento River","0.156 (0.055)","0.155 (0.061)",0.165,"0.165 (0)","0.165 (0)","0.167 (-0.012)","0.166 (-0.006)"
"D","South Delta","0.166 (0.012)","0.165 (0.018)",0.168,"0.168 (0)","0.168 (0)","0.168 (0)","0.168 (0)"
"D","Suisun Marsh","0.241 (0.291)","0.371 (-0.091)",0.34,"0.337 (0.009)","0.335 (0.015)","0.338 (0.006)","0.345 (-0.015)"
"D","Yolo Bypass","0.234 (-0.009)","0.237 (-0.022)",0.232,"0.234 (-0.009)","0.232 (0)","0.227 (0.022)","0.23 (0.009)"
"D","SummerFall","0.242 (0.114)","0.305 (-0.117)",0.273,"0.272 (0.004)","0.272 (0.004)","0.272 (0.004)","0.274 (-0.004)"
"D","Delta","0.196 (0.075)","0.235 (-0.108)",0.212,"0.212 (0)","0.212 (0)","0.211 (0.005)","0.212 (0)"
"W","Confluence","0.22 (0.317)","0.279 (0.134)",0.322,"0.323 (-0.003)","0.323 (-0.003)","0.323 (-0.003)","0.323 (-0.003)"
"W","East Delta","0.153 (0.405)","0.155 (0.397)",0.257,"0.258 (-0.004)","0.258 (-0.004)","0.258 (-0.004)","0.256 (0.004)"
"W","Lower Sacramento River","0.226 (0.292)","0.243 (0.238)",0.319,"0.319 (0)","0.319 (0)","0.319 (0)","0.319 (0)"
"W","Lower San Joaquin River","0.161 (0.075)","0.162 (0.069)",0.174,"0.174 (0)","0.174 (0)","0.174 (0)","0.174 (0)"
"W","NE Suisun","0.216 (0.365)","0.259 (0.238)",0.34,"0.335 (0.015)","0.333 (0.021)","0.336 (0.012)","0.336 (0.012)"
"W","NW Suisun","0.19 (0.202)","0.198 (0.168)",0.238,"0.232 (0.025)","0.23 (0.034)","0.233 (0.021)","0.233 (0.021)"
"W","SE Suisun","0.138 (0.364)","0.171 (0.212)",0.217,"0.215 (0.009)","0.214 (0.014)","0.215 (0.009)","0.215 (0.009)"
"W","SW Suisun","0.103 (0.072)","0.107 (0.036)",0.111,"0.11 (0.009)","0.11 (0.009)","0.11 (0.009)","0.11 (0.009)"
"W","Sacramento River","0.202 (0.406)","0.231 (0.321)",0.34,"0.34 (0)","0.34 (0)","0.34 (0)","0.34 (0)"
"W","South Delta","0.162 (0.064)","0.164 (0.052)",0.173,"0.174 (-0.006)","0.174 (-0.006)","0.174 (-0.006)","0.174 (-0.006)"
"W","Suisun Marsh","0.187 (0.412)","0.213 (0.33)",0.318,"0.307 (0.035)","0.3 (0.057)","0.308 (0.031)","0.309 (0.028)"
"W","Yolo Bypass","0.203 (0.038)","0.202 (0.043)",0.211,"0.211 (0)","0.211 (0)","0.211 (0)","0.211 (0)"
"W","SummerFall","0.206 (0.311)","0.233 (0.221)",0.299,"0.295 (0.013)","0.293 (0.02)","0.296 (0.01)","0.296 (0.01)"
"W","Delta","0.18 (0.286)","0.199 (0.21)",0.252,"0.25 (0.008)","0.249 (0.012)","0.25 (0.008)","0.25 (0.008)"
