"WYT","Region","NAA","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4"
"BN","Lower San Joaquin River",0.239,"0.247 (0.033)","0.237 (-0.008)","0.237 (-0.008)","0.24 (0.004)","0.24 (0.004)","0.229 (-0.042)","0.237 (-0.008)"
"BN","NE Suisun",0.308,"0.304 (-0.013)","0.304 (-0.013)","0.305 (-0.01)","0.305 (-0.01)","0.304 (-0.013)","0.349 (0.133)","0.304 (-0.013)"
"BN","NW Suisun",0.287,"0.264 (-0.08)","0.271 (-0.056)","0.271 (-0.056)","0.271 (-0.056)","0.271 (-0.056)","0.255 (-0.111)","0.271 (-0.056)"
"BN","SE Suisun",0.213,"0.217 (0.019)","0.209 (-0.019)","0.209 (-0.019)","0.211 (-0.009)","0.21 (-0.014)","0.241 (0.131)","0.209 (-0.019)"
"BN","SW Suisun",0.14,"0.141 (0.007)","0.141 (0.007)","0.141 (0.007)","0.14 (0)","0.14 (0)","0.139 (-0.007)","0.141 (0.007)"
"BN","Sacramento River",0.331,"0.332 (0.003)","0.329 (-0.006)","0.331 (0)","0.334 (0.009)","0.333 (0.006)","0.306 (-0.076)","0.331 (0)"
"BN","South Delta",0.172,"0.179 (0.041)","0.17 (-0.012)","0.17 (-0.012)","0.172 (0)","0.172 (0)","0.17 (-0.012)","0.171 (-0.006)"
"BN","Suisun Marsh",0.576,"0.428 (-0.257)","0.572 (-0.007)","0.572 (-0.007)","0.594 (0.031)","0.595 (0.033)","0.606 (0.052)","0.571 (-0.009)"
"BN","Yolo Bypass",0.257,"0.26 (0.012)","0.256 (-0.004)","0.256 (-0.004)","0.257 (0)","0.257 (0)","0.253 (-0.016)","0.256 (-0.004)"
"BN","SummerFall",0.412,"0.377 (-0.085)","0.402 (-0.024)","0.402 (-0.024)","0.412 (0)","0.412 (0)","0.406 (-0.015)","0.402 (-0.024)"
"BN","Delta",0.296,"0.287 (-0.03)","0.291 (-0.017)","0.291 (-0.017)","0.296 (0)","0.296 (0)","0.294 (-0.007)","0.291 (-0.017)"
"C","Confluence",0.112,"0.098 (-0.125)","0.112 (0)","0.106 (-0.054)","0.1 (-0.107)","0.103 (-0.08)","0.098 (-0.125)","0.1 (-0.107)"
"C","East Delta",0.096,"0.097 (0.01)","0.096 (0)","0.096 (0)","0.094 (-0.021)","0.095 (-0.01)","0.098 (0.021)","0.098 (0.021)"
"C","Lower Sacramento River",0.164,"0.121 (-0.262)","0.164 (0)","0.157 (-0.043)","0.143 (-0.128)","0.151 (-0.079)","0.127 (-0.226)","0.13 (-0.207)"
"C","Lower San Joaquin River",0.128,"0.127 (-0.008)","0.128 (0)","0.129 (0.008)","0.128 (0)","0.129 (0.008)","0.129 (0.008)","0.128 (0)"
"C","NE Suisun",0.115,"0.129 (0.122)","0.115 (0)","0.117 (0.017)","0.118 (0.026)","0.118 (0.026)","0.129 (0.122)","0.122 (0.061)"
"C","NW Suisun",0.124,"0.133 (0.073)","0.124 (0)","0.125 (0.008)","0.125 (0.008)","0.125 (0.008)","0.133 (0.073)","0.132 (0.065)"
"C","SE Suisun",0.068,"0.074 (0.088)","0.068 (0)","0.07 (0.029)","0.07 (0.029)","0.07 (0.029)","0.074 (0.088)","0.071 (0.044)"
"C","SW Suisun",0.061,"0.067 (0.098)","0.061 (0)","0.062 (0.016)","0.062 (0.016)","0.062 (0.016)","0.067 (0.098)","0.065 (0.066)"
"C","Sacramento River",0.121,"0.12 (-0.008)","0.121 (0)","0.122 (0.008)","0.116 (-0.041)","0.122 (0.008)","0.123 (0.017)","0.121 (0)"
"C","South Delta",0.118,"0.124 (0.051)","0.118 (0)","0.118 (0)","0.118 (0)","0.118 (0)","0.123 (0.042)","0.123 (0.042)"
"C","Suisun Marsh",0.146,"0.142 (-0.027)","0.146 (0)","0.146 (0)","0.146 (0)","0.146 (0)","0.144 (-0.014)","0.144 (-0.014)"
"C","Yolo Bypass",0.159,"0.162 (0.019)","0.159 (0)","0.158 (-0.006)","0.162 (0.019)","0.161 (0.013)","0.158 (-0.006)","0.161 (0.013)"
"C","SummerFall",0.137,"0.124 (-0.095)","0.137 (0)","0.134 (-0.022)","0.129 (-0.058)","0.131 (-0.044)","0.126 (-0.08)","0.126 (-0.08)"
"C","Delta",0.118,"0.116 (-0.017)","0.118 (0)","0.117 (-0.008)","0.115 (-0.025)","0.117 (-0.008)","0.117 (-0.008)","0.116 (-0.017)"
"D","Confluence",0.258,"0.251 (-0.027)","0.257 (-0.004)","0.257 (-0.004)","0.259 (0.004)","0.26 (0.008)","0.269 (0.043)","0.243 (-0.058)"
"D","East Delta",0.156,"0.155 (-0.006)","0.156 (0)","0.156 (0)","0.156 (0)","0.156 (0)","0.161 (0.032)","0.157 (0.006)"
"D","Lower Sacramento River",0.257,"0.251 (-0.023)","0.257 (0)","0.257 (0)","0.257 (0)","0.258 (0.004)","0.249 (-0.031)","0.249 (-0.031)"
"D","Lower San Joaquin River",0.185,"0.184 (-0.005)","0.185 (0)","0.185 (0)","0.185 (0)","0.185 (0)","0.183 (-0.011)","0.185 (0)"
"D","NE Suisun",0.269,"0.261 (-0.03)","0.269 (0)","0.269 (0)","0.265 (-0.015)","0.262 (-0.026)","0.307 (0.141)","0.265 (-0.015)"
"D","NW Suisun",0.237,"0.242 (0.021)","0.237 (0)","0.237 (0)","0.235 (-0.008)","0.235 (-0.008)","0.254 (0.072)","0.244 (0.03)"
"D","SE Suisun",0.176,"0.172 (-0.023)","0.176 (0)","0.176 (0)","0.174 (-0.011)","0.173 (-0.017)","0.201 (0.142)","0.174 (-0.011)"
"D","SW Suisun",0.106,"0.116 (0.094)","0.106 (0)","0.106 (0)","0.106 (0)","0.106 (0)","0.118 (0.113)","0.116 (0.094)"
"D","Sacramento River",0.165,"0.163 (-0.012)","0.165 (0)","0.165 (0)","0.167 (0.012)","0.166 (0.006)","0.201 (0.218)","0.168 (0.018)"
"D","South Delta",0.168,"0.167 (-0.006)","0.168 (0)","0.168 (0)","0.168 (0)","0.168 (0)","0.168 (0)","0.168 (0)"
"D","Suisun Marsh",0.34,"0.272 (-0.2)","0.337 (-0.009)","0.335 (-0.015)","0.338 (-0.006)","0.345 (0.015)","0.381 (0.121)","0.298 (-0.124)"
"D","Yolo Bypass",0.232,"0.221 (-0.047)","0.234 (0.009)","0.232 (0)","0.227 (-0.022)","0.23 (-0.009)","0.221 (-0.047)","0.22 (-0.052)"
"D","SummerFall",0.273,"0.254 (-0.07)","0.272 (-0.004)","0.272 (-0.004)","0.272 (-0.004)","0.274 (0.004)","0.288 (0.055)","0.258 (-0.055)"
"D","Delta",0.212,"0.205 (-0.033)","0.212 (0)","0.212 (0)","0.211 (-0.005)","0.212 (0)","0.226 (0.066)","0.207 (-0.024)"
"W","Confluence",0.223,"0.114 (-0.489)","0.223 (0)","0.223 (0)","0.223 (0)","0.224 (0.004)","0.221 (-0.009)","0.22 (-0.013)"
"W","East Delta",0.256,"0.241 (-0.059)","0.256 (0)","0.256 (0)","0.256 (0)","0.255 (-0.004)","0.233 (-0.09)","0.257 (0.004)"
"W","Lower Sacramento River",0.267,"0.21 (-0.213)","0.267 (0)","0.267 (0)","0.267 (0)","0.268 (0.004)","0.25 (-0.064)","0.26 (-0.026)"
"W","Lower San Joaquin River",0.178,"0.17 (-0.045)","0.178 (0)","0.178 (0)","0.178 (0)","0.177 (-0.006)","0.175 (-0.017)","0.176 (-0.011)"
"W","NE Suisun",0.161,"0.104 (-0.354)","0.16 (-0.006)","0.16 (-0.006)","0.16 (-0.006)","0.16 (-0.006)","0.133 (-0.174)","0.128 (-0.205)"
"W","NW Suisun",0.113,"0.112 (-0.009)","0.112 (-0.009)","0.111 (-0.018)","0.112 (-0.009)","0.112 (-0.009)","0.109 (-0.035)","0.111 (-0.018)"
"W","SE Suisun",0.106,"0.062 (-0.415)","0.106 (0)","0.106 (0)","0.106 (0)","0.106 (0)","0.094 (-0.113)","0.088 (-0.17)"
"W","SW Suisun",0.058,"0.065 (0.121)","0.058 (0)","0.058 (0)","0.058 (0)","0.058 (0)","0.063 (0.086)","0.063 (0.086)"
"W","Sacramento River",0.332,"0.319 (-0.039)","0.332 (0)","0.331 (-0.003)","0.332 (0)","0.332 (0)","0.315 (-0.051)","0.331 (-0.003)"
"W","South Delta",0.18,"0.178 (-0.011)","0.181 (0.006)","0.181 (0.006)","0.181 (0.006)","0.181 (0.006)","0.176 (-0.022)","0.18 (0)"
"W","Suisun Marsh",0.216,"0.155 (-0.282)","0.214 (-0.009)","0.212 (-0.019)","0.214 (-0.009)","0.214 (-0.009)","0.215 (-0.005)","0.214 (-0.009)"
"W","Yolo Bypass",0.229,"0.225 (-0.017)","0.229 (0)","0.229 (0)","0.229 (0)","0.229 (0)","0.229 (0)","0.23 (0.004)"
"W","SummerFall",0.205,"0.148 (-0.278)","0.204 (-0.005)","0.203 (-0.01)","0.204 (-0.005)","0.204 (-0.005)","0.199 (-0.029)","0.201 (-0.02)"
"W","Delta",0.193,"0.163 (-0.155)","0.193 (0)","0.193 (0)","0.193 (0)","0.193 (0)","0.184 (-0.047)","0.188 (-0.026)"
