"WYT","Region","EXP1","EXP3","NAA","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA"
"BN","SE Suisun","0.199 +/- 0.017","0.323 +/- 0.053","0.304 +/- 0.147","0.297 +/- 0.14","0.297 +/- 0.14","0.299 +/- 0.139","0.298 +/- 0.139"
"BN","SW Suisun","0.153 +/- 0.023","0.147 +/- 0.02","0.148 +/- 0.02","0.148 +/- 0.02","0.148 +/- 0.02","0.148 +/- 0.02","0.147 +/- 0.02"
"BN","Sacramento River","0.427 +/- 0.018","0.427 +/- 0.018","0.423 +/- 0.016","0.423 +/- 0.016","0.423 +/- 0.016","0.423 +/- 0.016","0.423 +/- 0.016"
"BN","South Delta","0.48 +/- 0.05","0.48 +/- 0.05","0.478 +/- 0.05","0.478 +/- 0.05","0.478 +/- 0.05","0.478 +/- 0.05","0.478 +/- 0.05"
"BN","Suisun Marsh","0.354 +/- 0.072","0.472 +/- 0.079","0.738 +/- 0.145","0.726 +/- 0.128","0.726 +/- 0.128","0.748 +/- 0.103","0.75 +/- 0.105"
"BN","Yolo Bypass","0.548 +/- 0.011","0.547 +/- 0.01","0.547 +/- 0.011","0.547 +/- 0.011","0.547 +/- 0.011","0.547 +/- 0.011","0.547 +/- 0.011"
"BN","SummerFall","0.343 +/- 0.109","0.525 +/- 0.159","0.588 +/- 0.18","0.574 +/- 0.181","0.574 +/- 0.181","0.583 +/- 0.181","0.583 +/- 0.181"
"BN","Delta","0.366 +/- 0.13","0.45 +/- 0.148","0.467 +/- 0.181","0.461 +/- 0.177","0.461 +/- 0.177","0.464 +/- 0.178","0.464 +/- 0.179"
"C","Confluence","0.235 +/- 0.019","0.435 +/- 0.07","0.348 +/- 0.057","0.355 +/- 0.065","0.442 +/- 0.188","0.434 +/- 0.195","0.44 +/- 0.191"
"C","East Delta","0.441 +/- 0.044","0.441 +/- 0.044","0.441 +/- 0.044","0.441 +/- 0.044","0.441 +/- 0.044","0.441 +/- 0.044","0.441 +/- 0.044"
"C","Lower Sacramento River","0.268 +/- 0.039","0.639 +/- 0.04","0.613 +/- 0.061","0.616 +/- 0.061","0.613 +/- 0.075","0.596 +/- 0.092","0.607 +/- 0.072"
"C","Lower San Joaquin River","0.385 +/- 0.074","0.483 +/- 0.08","0.483 +/- 0.08","0.483 +/- 0.08","0.483 +/- 0.08","0.482 +/- 0.079","0.483 +/- 0.08"
"C","NE Suisun","0.313 +/- 0.025","0.309 +/- 0.026","0.309 +/- 0.025","0.309 +/- 0.025","0.318 +/- 0.044","0.32 +/- 0.047","0.323 +/- 0.057"
"C","NW Suisun","0.309 +/- 0.026","0.307 +/- 0.026","0.307 +/- 0.026","0.307 +/- 0.026","0.307 +/- 0.025","0.307 +/- 0.025","0.307 +/- 0.025"
"C","SE Suisun","0.206 +/- 0.019","0.201 +/- 0.018","0.199 +/- 0.019","0.199 +/- 0.019","0.215 +/- 0.048","0.216 +/- 0.049","0.218 +/- 0.053"
"C","SW Suisun","0.165 +/- 0.024","0.156 +/- 0.022","0.157 +/- 0.022","0.157 +/- 0.022","0.156 +/- 0.021","0.156 +/- 0.021","0.156 +/- 0.021"
"C","Sacramento River","0.411 +/- 0.026","0.429 +/- 0.019","0.429 +/- 0.019","0.429 +/- 0.019","0.429 +/- 0.019","0.429 +/- 0.019","0.428 +/- 0.019"
"C","South Delta","0.479 +/- 0.05","0.48 +/- 0.05","0.48 +/- 0.05","0.48 +/- 0.05","0.48 +/- 0.05","0.48 +/- 0.05","0.48 +/- 0.05"
"C","Suisun Marsh","0.332 +/- 0.016","0.335 +/- 0.016","0.331 +/- 0.017","0.331 +/- 0.017","0.334 +/- 0.022","0.334 +/- 0.022","0.334 +/- 0.022"
"C","Yolo Bypass","0.55 +/- 0.011","0.546 +/- 0.009","0.546 +/- 0.009","0.546 +/- 0.009","0.546 +/- 0.009","0.546 +/- 0.009","0.546 +/- 0.009"
"C","SummerFall","0.286 +/- 0.045","0.429 +/- 0.138","0.4 +/- 0.133","0.402 +/- 0.134","0.424 +/- 0.157","0.418 +/- 0.155","0.422 +/- 0.155"
"C","Delta","0.341 +/- 0.116","0.397 +/- 0.14","0.387 +/- 0.137","0.388 +/- 0.137","0.397 +/- 0.145","0.395 +/- 0.144","0.397 +/- 0.144"
"D","Confluence","0.382 +/- 0.171","0.674 +/- 0.058","0.542 +/- 0.167","0.541 +/- 0.168","0.541 +/- 0.168","0.54 +/- 0.168","0.541 +/- 0.167"
"D","East Delta","0.441 +/- 0.043","0.441 +/- 0.043","0.441 +/- 0.043","0.441 +/- 0.043","0.441 +/- 0.043","0.441 +/- 0.043","0.441 +/- 0.043"
"D","Lower Sacramento River","0.522 +/- 0.138","0.651 +/- 0.044","0.647 +/- 0.047","0.647 +/- 0.047","0.647 +/- 0.047","0.647 +/- 0.048","0.647 +/- 0.047"
"D","Lower San Joaquin River","0.471 +/- 0.084","0.482 +/- 0.08","0.483 +/- 0.081","0.483 +/- 0.081","0.483 +/- 0.081","0.483 +/- 0.081","0.483 +/- 0.081"
"D","NE Suisun","0.338 +/- 0.074","0.497 +/- 0.152","0.395 +/- 0.177","0.396 +/- 0.178","0.396 +/- 0.178","0.391 +/- 0.171","0.386 +/- 0.167"
"D","NW Suisun","0.306 +/- 0.028","0.362 +/- 0.106","0.336 +/- 0.104","0.336 +/- 0.105","0.336 +/- 0.105","0.334 +/- 0.101","0.333 +/- 0.098"
"D","SE Suisun","0.224 +/- 0.06","0.36 +/- 0.108","0.272 +/- 0.141","0.272 +/- 0.142","0.272 +/- 0.142","0.269 +/- 0.138","0.267 +/- 0.135"
"D","SW Suisun","0.145 +/- 0.028","0.142 +/- 0.025","0.142 +/- 0.025","0.142 +/- 0.025","0.142 +/- 0.025","0.142 +/- 0.025","0.142 +/- 0.025"
"D","Sacramento River","0.428 +/- 0.019","0.428 +/- 0.019","0.428 +/- 0.018","0.428 +/- 0.018","0.428 +/- 0.018","0.428 +/- 0.018","0.428 +/- 0.018"
"D","South Delta","0.48 +/- 0.05","0.48 +/- 0.05","0.48 +/- 0.05","0.48 +/- 0.05","0.48 +/- 0.05","0.48 +/- 0.05","0.48 +/- 0.05"
"D","Suisun Marsh","0.381 +/- 0.108","0.563 +/- 0.195","0.536 +/- 0.192","0.531 +/- 0.192","0.529 +/- 0.193","0.531 +/- 0.193","0.54 +/- 0.194"
"D","Yolo Bypass","0.556 +/- 0.021","0.549 +/- 0.012","0.55 +/- 0.011","0.554 +/- 0.016","0.549 +/- 0.011","0.549 +/- 0.01","0.549 +/- 0.011"
"D","SummerFall","0.398 +/- 0.142","0.562 +/- 0.168","0.515 +/- 0.176","0.514 +/- 0.176","0.513 +/- 0.176","0.513 +/- 0.176","0.515 +/- 0.176"
"D","Delta","0.39 +/- 0.141","0.469 +/- 0.163","0.438 +/- 0.168","0.438 +/- 0.168","0.437 +/- 0.168","0.436 +/- 0.167","0.436 +/- 0.167"
"W","Confluence","0.371 +/- 0.158","0.645 +/- 0.075","0.674 +/- 0.055","0.674 +/- 0.055","0.673 +/- 0.055","0.674 +/- 0.055","0.674 +/- 0.055"
"W","East Delta","0.442 +/- 0.044","0.442 +/- 0.044","0.441 +/- 0.044","0.441 +/- 0.044","0.441 +/- 0.044","0.441 +/- 0.044","0.441 +/- 0.044"
"W","Lower Sacramento River","0.493 +/- 0.161","0.649 +/- 0.042","0.647 +/- 0.042","0.647 +/- 0.042","0.647 +/- 0.042","0.647 +/- 0.042","0.647 +/- 0.042"
"W","Lower San Joaquin River","0.461 +/- 0.095","0.482 +/- 0.079","0.482 +/- 0.079","0.482 +/- 0.079","0.482 +/- 0.079","0.482 +/- 0.079","0.482 +/- 0.079"
"W","NE Suisun","0.343 +/- 0.098","0.408 +/- 0.119","0.553 +/- 0.192","0.541 +/- 0.187","0.535 +/- 0.178","0.542 +/- 0.187","0.542 +/- 0.187"
"W","NW Suisun","0.316 +/- 0.027","0.314 +/- 0.026","0.387 +/- 0.151","0.378 +/- 0.143","0.373 +/- 0.135","0.379 +/- 0.144","0.379 +/- 0.144"
"W","SE Suisun","0.227 +/- 0.079","0.29 +/- 0.084","0.391 +/- 0.13","0.383 +/- 0.126","0.379 +/- 0.12","0.384 +/- 0.126","0.384 +/- 0.126"
"W","SW Suisun","0.163 +/- 0.024","0.157 +/- 0.021","0.157 +/- 0.02","0.157 +/- 0.02","0.156 +/- 0.02","0.157 +/- 0.02","0.157 +/- 0.02"
"W","Sacramento River","0.423 +/- 0.021","0.426 +/- 0.018","0.422 +/- 0.016","0.422 +/- 0.016","0.422 +/- 0.016","0.422 +/- 0.016","0.422 +/- 0.016"
"W","South Delta","0.48 +/- 0.049","0.48 +/- 0.049","0.479 +/- 0.05","0.479 +/- 0.05","0.479 +/- 0.05","0.479 +/- 0.05","0.479 +/- 0.05"
"W","Suisun Marsh","0.352 +/- 0.042","0.427 +/- 0.086","0.631 +/- 0.203","0.619 +/- 0.202","0.612 +/- 0.202","0.62 +/- 0.203","0.62 +/- 0.203"
"W","Yolo Bypass","0.549 +/- 0.013","0.548 +/- 0.012","0.548 +/- 0.012","0.548 +/- 0.012","0.548 +/- 0.012","0.548 +/- 0.012","0.548 +/- 0.012"
"W","SummerFall","0.383 +/- 0.13","0.509 +/- 0.157","0.585 +/- 0.172","0.579 +/- 0.172","0.576 +/- 0.171","0.58 +/- 0.172","0.58 +/- 0.172"
"W","Delta","0.385 +/- 0.135","0.439 +/- 0.149","0.484 +/- 0.17","0.481 +/- 0.169","0.479 +/- 0.167","0.481 +/- 0.169","0.481 +/- 0.169"
