"WYT","Region","NAA","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4"
"C","South Delta","0.118 +/- 0.204","0.124 +/- 0.204","0.118 +/- 0.204","0.118 +/- 0.204","0.118 +/- 0.204","0.118 +/- 0.204","0.123 +/- 0.204","0.123 +/- 0.204"
"C","Suisun Marsh","0.146 +/- 0.12","0.142 +/- 0.125","0.146 +/- 0.12","0.146 +/- 0.12","0.146 +/- 0.12","0.146 +/- 0.12","0.144 +/- 0.124","0.144 +/- 0.123"
"C","Yolo Bypass","0.159 +/- 0.183","0.162 +/- 0.182","0.159 +/- 0.182","0.158 +/- 0.182","0.162 +/- 0.184","0.161 +/- 0.185","0.158 +/- 0.181","0.161 +/- 0.181"
"C","SummerFall","0.137 +/- 0.161","0.124 +/- 0.126","0.137 +/- 0.16","0.134 +/- 0.155","0.129 +/- 0.145","0.131 +/- 0.148","0.126 +/- 0.129","0.126 +/- 0.132"
"C","Delta","0.118 +/- 0.161","0.116 +/- 0.148","0.118 +/- 0.161","0.117 +/- 0.159","0.115 +/- 0.156","0.117 +/- 0.157","0.117 +/- 0.15","0.116 +/- 0.151"
"D","Confluence","0.258 +/- 0.171","0.251 +/- 0.156","0.257 +/- 0.171","0.257 +/- 0.171","0.259 +/- 0.172","0.26 +/- 0.175","0.269 +/- 0.15","0.243 +/- 0.151"
"D","East Delta","0.156 +/- 0.212","0.155 +/- 0.213","0.156 +/- 0.212","0.156 +/- 0.212","0.156 +/- 0.212","0.156 +/- 0.212","0.161 +/- 0.209","0.157 +/- 0.212"
"D","Lower Sacramento River","0.257 +/- 0.268","0.251 +/- 0.257","0.257 +/- 0.268","0.257 +/- 0.268","0.257 +/- 0.268","0.258 +/- 0.269","0.249 +/- 0.263","0.249 +/- 0.254"
"D","Lower San Joaquin River","0.185 +/- 0.24","0.184 +/- 0.238","0.185 +/- 0.24","0.185 +/- 0.24","0.185 +/- 0.24","0.185 +/- 0.24","0.183 +/- 0.24","0.185 +/- 0.238"
"D","NE Suisun","0.269 +/- 0.163","0.261 +/- 0.148","0.269 +/- 0.163","0.269 +/- 0.163","0.265 +/- 0.159","0.262 +/- 0.156","0.307 +/- 0.159","0.265 +/- 0.155"
"D","NW Suisun","0.237 +/- 0.113","0.242 +/- 0.102","0.237 +/- 0.114","0.237 +/- 0.113","0.235 +/- 0.111","0.235 +/- 0.11","0.254 +/- 0.119","0.244 +/- 0.107"
"D","SE Suisun","0.176 +/- 0.125","0.172 +/- 0.117","0.176 +/- 0.126","0.176 +/- 0.126","0.174 +/- 0.124","0.173 +/- 0.123","0.201 +/- 0.125","0.174 +/- 0.122"
"D","SW Suisun","0.106 +/- 0.029","0.116 +/- 0.027","0.106 +/- 0.029","0.106 +/- 0.029","0.106 +/- 0.029","0.106 +/- 0.03","0.118 +/- 0.028","0.116 +/- 0.028"
"D","Sacramento River","0.165 +/- 0.188","0.163 +/- 0.188","0.165 +/- 0.188","0.165 +/- 0.188","0.167 +/- 0.186","0.166 +/- 0.187","0.201 +/- 0.166","0.168 +/- 0.187"
"D","South Delta","0.168 +/- 0.224","0.167 +/- 0.224","0.168 +/- 0.224","0.168 +/- 0.224","0.168 +/- 0.224","0.168 +/- 0.224","0.168 +/- 0.223","0.168 +/- 0.224"
"D","Suisun Marsh","0.34 +/- 0.198","0.272 +/- 0.152","0.337 +/- 0.197","0.335 +/- 0.196","0.338 +/- 0.2","0.345 +/- 0.205","0.381 +/- 0.199","0.298 +/- 0.172"
"D","Yolo Bypass","0.232 +/- 0.203","0.221 +/- 0.214","0.234 +/- 0.207","0.232 +/- 0.204","0.227 +/- 0.207","0.23 +/- 0.205","0.221 +/- 0.214","0.22 +/- 0.214"
"D","SummerFall","0.273 +/- 0.192","0.254 +/- 0.169","0.272 +/- 0.192","0.272 +/- 0.191","0.272 +/- 0.193","0.274 +/- 0.195","0.288 +/- 0.191","0.258 +/- 0.173"
"D","Delta","0.212 +/- 0.19","0.205 +/- 0.179","0.212 +/- 0.19","0.212 +/- 0.189","0.211 +/- 0.19","0.212 +/- 0.19","0.226 +/- 0.189","0.207 +/- 0.182"
"W","Confluence","0.223 +/- 0.294","0.114 +/- 0.151","0.223 +/- 0.294","0.223 +/- 0.294","0.223 +/- 0.294","0.224 +/- 0.294","0.221 +/- 0.295","0.22 +/- 0.29"
"W","East Delta","0.256 +/- 0.178","0.241 +/- 0.175","0.256 +/- 0.178","0.256 +/- 0.178","0.256 +/- 0.178","0.255 +/- 0.178","0.233 +/- 0.194","0.257 +/- 0.174"
"W","Lower Sacramento River","0.267 +/- 0.296","0.21 +/- 0.273","0.267 +/- 0.296","0.267 +/- 0.296","0.267 +/- 0.296","0.268 +/- 0.296","0.25 +/- 0.297","0.26 +/- 0.297"
"W","Lower San Joaquin River","0.178 +/- 0.245","0.17 +/- 0.246","0.178 +/- 0.245","0.178 +/- 0.245","0.178 +/- 0.245","0.177 +/- 0.245","0.175 +/- 0.246","0.176 +/- 0.245"
"W","NE Suisun","0.161 +/- 0.203","0.104 +/- 0.128","0.16 +/- 0.202","0.16 +/- 0.202","0.16 +/- 0.202","0.16 +/- 0.202","0.133 +/- 0.166","0.128 +/- 0.157"
"W","NW Suisun","0.113 +/- 0.128","0.112 +/- 0.125","0.112 +/- 0.127","0.111 +/- 0.127","0.112 +/- 0.127","0.112 +/- 0.128","0.109 +/- 0.126","0.111 +/- 0.125"
"W","SE Suisun","0.106 +/- 0.138","0.062 +/- 0.08","0.106 +/- 0.137","0.106 +/- 0.137","0.106 +/- 0.138","0.106 +/- 0.138","0.094 +/- 0.122","0.088 +/- 0.112"
"W","SW Suisun","0.058 +/- 0.063","0.065 +/- 0.064","0.058 +/- 0.063","0.058 +/- 0.063","0.058 +/- 0.063","0.058 +/- 0.063","0.063 +/- 0.063","0.063 +/- 0.063"
"W","Sacramento River","0.332 +/- 0.089","0.319 +/- 0.086","0.332 +/- 0.089","0.331 +/- 0.09","0.332 +/- 0.089","0.332 +/- 0.089","0.315 +/- 0.105","0.331 +/- 0.089"
"W","South Delta","0.18 +/- 0.215","0.178 +/- 0.216","0.181 +/- 0.215","0.181 +/- 0.215","0.181 +/- 0.215","0.181 +/- 0.215","0.176 +/- 0.217","0.18 +/- 0.215"
"W","Suisun Marsh","0.216 +/- 0.199","0.155 +/- 0.124","0.214 +/- 0.198","0.212 +/- 0.197","0.214 +/- 0.198","0.214 +/- 0.198","0.215 +/- 0.206","0.214 +/- 0.201"
"W","Yolo Bypass","0.229 +/- 0.218","0.225 +/- 0.217","0.229 +/- 0.218","0.229 +/- 0.218","0.229 +/- 0.219","0.229 +/- 0.218","0.229 +/- 0.216","0.23 +/- 0.216"
"W","SummerFall","0.205 +/- 0.237","0.148 +/- 0.177","0.204 +/- 0.237","0.203 +/- 0.237","0.204 +/- 0.237","0.204 +/- 0.237","0.199 +/- 0.238","0.201 +/- 0.236"
"W","Delta","0.193 +/- 0.206","0.163 +/- 0.178","0.193 +/- 0.206","0.193 +/- 0.206","0.193 +/- 0.206","0.193 +/- 0.206","0.184 +/- 0.204","0.188 +/- 0.202"
