"WYT","Region","EXP1","EXP3","NAA","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA"
"D","NW Suisun","0.207 +/- 0.069","0.262 +/- 0.14","0.237 +/- 0.113","0.237 +/- 0.114","0.237 +/- 0.113","0.235 +/- 0.111","0.235 +/- 0.11"
"D","SE Suisun","0.154 +/- 0.102","0.248 +/- 0.159","0.176 +/- 0.125","0.176 +/- 0.126","0.176 +/- 0.126","0.174 +/- 0.124","0.173 +/- 0.123"
"D","SW Suisun","0.1 +/- 0.033","0.105 +/- 0.03","0.106 +/- 0.029","0.106 +/- 0.029","0.106 +/- 0.029","0.106 +/- 0.029","0.106 +/- 0.03"
"D","Sacramento River","0.156 +/- 0.195","0.155 +/- 0.195","0.165 +/- 0.188","0.165 +/- 0.188","0.165 +/- 0.188","0.167 +/- 0.186","0.166 +/- 0.187"
"D","South Delta","0.166 +/- 0.224","0.165 +/- 0.225","0.168 +/- 0.224","0.168 +/- 0.224","0.168 +/- 0.224","0.168 +/- 0.224","0.168 +/- 0.224"
"D","Suisun Marsh","0.241 +/- 0.132","0.371 +/- 0.227","0.34 +/- 0.198","0.337 +/- 0.197","0.335 +/- 0.196","0.338 +/- 0.2","0.345 +/- 0.205"
"D","Yolo Bypass","0.234 +/- 0.202","0.237 +/- 0.199","0.232 +/- 0.203","0.234 +/- 0.207","0.232 +/- 0.204","0.227 +/- 0.207","0.23 +/- 0.205"
"D","SummerFall","0.242 +/- 0.193","0.305 +/- 0.226","0.273 +/- 0.192","0.272 +/- 0.192","0.272 +/- 0.191","0.272 +/- 0.193","0.274 +/- 0.195"
"D","Delta","0.196 +/- 0.184","0.235 +/- 0.214","0.212 +/- 0.19","0.212 +/- 0.19","0.212 +/- 0.189","0.211 +/- 0.19","0.212 +/- 0.19"
"W","Confluence","0.22 +/- 0.257","0.279 +/- 0.265","0.322 +/- 0.251","0.323 +/- 0.251","0.323 +/- 0.251","0.323 +/- 0.251","0.323 +/- 0.251"
"W","East Delta","0.153 +/- 0.207","0.155 +/- 0.206","0.257 +/- 0.163","0.258 +/- 0.163","0.258 +/- 0.163","0.258 +/- 0.163","0.256 +/- 0.162"
"W","Lower Sacramento River","0.226 +/- 0.286","0.243 +/- 0.281","0.319 +/- 0.287","0.319 +/- 0.287","0.319 +/- 0.287","0.319 +/- 0.287","0.319 +/- 0.287"
"W","Lower San Joaquin River","0.161 +/- 0.247","0.162 +/- 0.246","0.174 +/- 0.241","0.174 +/- 0.241","0.174 +/- 0.241","0.174 +/- 0.241","0.174 +/- 0.241"
"W","NE Suisun","0.216 +/- 0.175","0.259 +/- 0.184","0.34 +/- 0.155","0.335 +/- 0.155","0.333 +/- 0.157","0.336 +/- 0.155","0.336 +/- 0.155"
"W","NW Suisun","0.19 +/- 0.106","0.198 +/- 0.106","0.238 +/- 0.081","0.232 +/- 0.08","0.23 +/- 0.081","0.233 +/- 0.08","0.233 +/- 0.08"
"W","SE Suisun","0.138 +/- 0.131","0.171 +/- 0.14","0.217 +/- 0.123","0.215 +/- 0.123","0.214 +/- 0.124","0.215 +/- 0.123","0.215 +/- 0.123"
"W","SW Suisun","0.103 +/- 0.051","0.107 +/- 0.053","0.111 +/- 0.052","0.11 +/- 0.052","0.11 +/- 0.053","0.11 +/- 0.052","0.11 +/- 0.052"
"W","Sacramento River","0.202 +/- 0.199","0.231 +/- 0.178","0.34 +/- 0.081","0.34 +/- 0.081","0.34 +/- 0.081","0.34 +/- 0.081","0.34 +/- 0.081"
"W","South Delta","0.162 +/- 0.218","0.164 +/- 0.218","0.173 +/- 0.215","0.174 +/- 0.215","0.174 +/- 0.215","0.174 +/- 0.215","0.174 +/- 0.215"
"W","Suisun Marsh","0.187 +/- 0.12","0.213 +/- 0.14","0.318 +/- 0.183","0.307 +/- 0.179","0.3 +/- 0.18","0.308 +/- 0.181","0.309 +/- 0.181"
"W","Yolo Bypass","0.203 +/- 0.189","0.202 +/- 0.191","0.211 +/- 0.188","0.211 +/- 0.188","0.211 +/- 0.188","0.211 +/- 0.188","0.211 +/- 0.188"
"W","SummerFall","0.206 +/- 0.201","0.233 +/- 0.206","0.299 +/- 0.21","0.295 +/- 0.209","0.293 +/- 0.21","0.296 +/- 0.209","0.296 +/- 0.21"
"W","Delta","0.18 +/- 0.188","0.199 +/- 0.192","0.252 +/- 0.189","0.25 +/- 0.188","0.249 +/- 0.188","0.25 +/- 0.188","0.25 +/- 0.188"
